selected_features_length,iterating_feature,train_auc,val_auc,test_auc,best_feature,best_feature_row
6,age_in_days,0.8460498406830503,0.8460498406830503,0,age_in_days,1
6,income,0.8445458552133698,0.8445458552133698,0,age_in_days,0
6,no_of_premiums_paid,0.8427040778237687,0.8427040778237687,0,age_in_days,0
6,premium,0.8435344159706498,0.8435344159706498,0,age_in_days,0
6,plan_age,0.8426381480385889,0.8426381480385889,0,age_in_days,0
6,total_prem_am_paid,0.8433972961303953,0.8433972961303953,0,age_in_days,0
6,age_years,0.8460498406830503,0.8460498406830503,0,age_in_days,0
6,prem_by_income,0.8428835591413775,0.8428835591413775,0,age_in_days,0
6,total_prem_am_paid_cash_credit,0.8428872865023372,0.8428872865023372,0,age_in_days,0
6,residence_area_type_Urban,0.8424562624461982,0.8424562624461982,0,age_in_days,0
6,residence_area_type_Rural,0.8424562624461982,0.8424562624461982,0,age_in_days,0
6,sourcing_channel_C,0.8426574597509834,0.8426574597509834,0,age_in_days,0
6,sourcing_channel_A,0.8427197677548075,0.8427197677548075,0,age_in_days,0
6,sourcing_channel_B,0.8424992761114867,0.8424992761114867,0,age_in_days,0
6,sourcing_channel_D,0.8427293982184416,0.8427293982184416,0,age_in_days,0
6,sourcing_channel_E,0.8426381480385889,0.8426381480385889,0,age_in_days,0
7,income,0.8478943471049498,0.8478943471049498,0,income,1
7,no_of_premiums_paid,0.8464603234921649,0.8464603234921649,0,income,0
7,premium,0.8466592915972079,0.8466592915972079,0,income,0
7,plan_age,0.8460498406830503,0.8460498406830503,0,income,0
7,total_prem_am_paid,0.8467932921615643,0.8467932921615643,0,income,0
7,age_years,0.8460498406830503,0.8460498406830503,0,income,0
7,prem_by_income,0.8464717167342523,0.8464717167342523,0,income,0
7,total_prem_am_paid_cash_credit,0.8466313424040379,0.8466313424040379,0,income,0
7,residence_area_type_Urban,0.84585847030015,0.84585847030015,0,income,0
7,residence_area_type_Rural,0.84585847030015,0.84585847030015,0,income,0
7,sourcing_channel_C,0.8460498406830503,0.8460498406830503,0,income,0
7,sourcing_channel_A,0.8461544326500889,0.8461544326500889,0,income,0
7,sourcing_channel_B,0.8460498406830503,0.8460498406830503,0,income,0
7,sourcing_channel_D,0.8461390514391582,0.8461390514391582,0,income,0
7,sourcing_channel_E,0.8460498406830503,0.8460498406830503,0,income,0
8,no_of_premiums_paid,0.8479700877746061,0.8479700877746061,0,total_prem_am_paid,0
8,premium,0.8479324052110992,0.8479324052110992,0,total_prem_am_paid,0
8,plan_age,0.8478943471049498,0.8478943471049498,0,total_prem_am_paid,0
8,total_prem_am_paid,0.848176505255766,0.848176505255766,0,total_prem_am_paid,1
8,age_years,0.8478943471049498,0.8478943471049498,0,total_prem_am_paid,0
8,prem_by_income,0.8478956300976072,0.8478956300976072,0,total_prem_am_paid,0
8,total_prem_am_paid_cash_credit,0.8481598771363466,0.8481598771363466,0,total_prem_am_paid,0
8,residence_area_type_Urban,0.8479007821149969,0.8479007821149969,0,total_prem_am_paid,0
8,residence_area_type_Rural,0.8479007821149969,0.8479007821149969,0,total_prem_am_paid,0
8,sourcing_channel_C,0.8478943471049498,0.8478943471049498,0,total_prem_am_paid,0
8,sourcing_channel_A,0.8477557959260118,0.8477557959260118,0,total_prem_am_paid,0
8,sourcing_channel_B,0.8478943471049498,0.8478943471049498,0,total_prem_am_paid,0
8,sourcing_channel_D,0.8479200002758434,0.8479200002758434,0,total_prem_am_paid,0
8,sourcing_channel_E,0.8478943471049498,0.8478943471049498,0,total_prem_am_paid,0
9,no_of_premiums_paid,0.8482241670965358,0.8482241670965358,0,prem_by_income,0
9,premium,0.8483660660844392,0.8483660660844392,0,prem_by_income,0
9,plan_age,0.848176505255766,0.848176505255766,0,prem_by_income,0
9,age_years,0.848176505255766,0.848176505255766,0,prem_by_income,0
9,prem_by_income,0.8484283393405454,0.8484283393405454,0,prem_by_income,1
9,total_prem_am_paid_cash_credit,0.8482994293168473,0.8482994293168473,0,prem_by_income,0
9,residence_area_type_Urban,0.8481715777620914,0.8481715777620914,0,prem_by_income,0
9,residence_area_type_Rural,0.8481715777620914,0.8481715777620914,0,prem_by_income,0
9,sourcing_channel_C,0.848176505255766,0.848176505255766,0,prem_by_income,0
9,sourcing_channel_A,0.8483768833162816,0.8483768833162816,0,prem_by_income,0
9,sourcing_channel_B,0.848176505255766,0.848176505255766,0,prem_by_income,0
9,sourcing_channel_D,0.8481539098840392,0.8481539098840392,0,prem_by_income,0
9,sourcing_channel_E,0.848176505255766,0.848176505255766,0,prem_by_income,0
10,no_of_premiums_paid,0.8485921681477346,0.8485921681477346,0,no_of_premiums_paid,1
10,premium,0.8481339900865831,0.8481339900865831,0,no_of_premiums_paid,0
10,plan_age,0.8484283393405454,0.8484283393405454,0,no_of_premiums_paid,0
10,age_years,0.8484283393405454,0.8484283393405454,0,no_of_premiums_paid,0
10,total_prem_am_paid_cash_credit,0.8481514628428353,0.8481514628428353,0,no_of_premiums_paid,0
10,residence_area_type_Urban,0.8484613002237833,0.8484613002237833,0,no_of_premiums_paid,0
10,residence_area_type_Rural,0.8484613002237833,0.8484613002237833,0,no_of_premiums_paid,0
10,sourcing_channel_C,0.8484283393405454,0.8484283393405454,0,no_of_premiums_paid,0
10,sourcing_channel_A,0.8485282737769477,0.8485282737769477,0,no_of_premiums_paid,0
10,sourcing_channel_B,0.8484283393405454,0.8484283393405454,0,no_of_premiums_paid,0
10,sourcing_channel_D,0.8485755680937794,0.8485755680937794,0,no_of_premiums_paid,0
10,sourcing_channel_E,0.8484283393405454,0.8484283393405454,0,no_of_premiums_paid,0
11,premium,0.8485068705192316,0.8485068705192316,0,sourcing_channel_D,0
11,plan_age,0.8485921681477346,0.8485921681477346,0,sourcing_channel_D,0
11,age_years,0.8485921681477346,0.8485921681477346,0,sourcing_channel_D,0
11,total_prem_am_paid_cash_credit,0.8486695419601278,0.8486695419601278,0,sourcing_channel_D,0
11,residence_area_type_Urban,0.8485499349696461,0.8485499349696461,0,sourcing_channel_D,0
11,residence_area_type_Rural,0.8485499349696461,0.8485499349696461,0,sourcing_channel_D,0
11,sourcing_channel_C,0.8485921681477346,0.8485921681477346,0,sourcing_channel_D,0
11,sourcing_channel_A,0.8484308264752698,0.8484308264752698,0,sourcing_channel_D,0
11,sourcing_channel_B,0.8485921681477346,0.8485921681477346,0,sourcing_channel_D,0
11,sourcing_channel_D,0.848787342069284,0.848787342069284,0,sourcing_channel_D,1
11,sourcing_channel_E,0.8485921681477346,0.8485921681477346,0,sourcing_channel_D,0
12,premium,0.8487184560551894,0.8487184560551894,0,total_prem_am_paid_cash_credit,0
12,plan_age,0.848787342069284,0.848787342069284,0,total_prem_am_paid_cash_credit,0
12,age_years,0.848787342069284,0.848787342069284,0,total_prem_am_paid_cash_credit,0
12,total_prem_am_paid_cash_credit,0.8488207145793325,0.8488207145793325,0,total_prem_am_paid_cash_credit,1
12,residence_area_type_Urban,0.8486939883160534,0.8486939883160534,0,total_prem_am_paid_cash_credit,0
12,residence_area_type_Rural,0.8486939883160534,0.8486939883160534,0,total_prem_am_paid_cash_credit,0
12,sourcing_channel_C,0.848787342069284,0.848787342069284,0,total_prem_am_paid_cash_credit,0
